genera	gene_id
Gemella	MAPK15
Enterococcus	RPS6KA1
Capnocytophaga	KARS
Methanobrevibacter	FARSA
Roseburia	TLK2
Coprobacillus	IMPDH2
Akkermansia	IARS2
Collinsella	PSAT1
Anaerotruncus	TSPO
Solobacterium	MAT1A
Akkermansia	NAGLU
Clostridium	ABAT
Enterococcus	GPT
Eggerthella	SLC16A2
Succinatimonas	TAT
Escherichia	GART
Roseburia	PCCA
Selenomonas	EPHB2
Enterobacter	NT5E
Pyramidobacter	DPEP1
Acinetobacter	CHEK1
Butyrivibrio	HSD17B4
Klebsiella	CA10
Gemella	EPHA1
Eubacterium	NEK1
Collinsella	XDH
Leuconostoc	NFS1
Solobacterium	SLC1A1
Proteus	GLS2
Collinsella	NUAK1
Odoribacter	ACSS1
Helicobacter	FARS2
Mitsuokella	STK10
Collinsella	STK16
Akkermansia	RPS6KA6
Proteus	TPI1
Bifidobacterium	GPT2
Aggregatibacter	PECR
Rahnella	PECR
Dialister	PAK4
Salmonella	PLK1
Succinatimonas	ALDH18A1
Eggerthella	MAPK3
Anaerostipes	PDPK1
Turicibacter	POLR2A
Atopobium	SGK3
Dialister	SPTLC3
Coprococcus	PHKG1
Paraprevotella	HSD17B10
Holdemania	CARS2
Oxalobacter	GATB
Porphyromonas	DLD
Pseudoflavonifractor	IARS
Campylobacter	SLC6A1
Granulicatella	TNNI3K
Gemella	PAK6
Butyrivibrio	PLK4
Clostridium	MAPK15
Granulicatella	LDHC
Salmonella	MMAB
Bilophila	HDAC10
Atopobium	IMPDH1
Prevotella	AKR1C1
Klebsiella	HSD17B1
Escherichia	ABCC2
Holdemania	ALDH1A3
Haemophilus	ACSL4
Dialister	BRAF
Bacteroides	SERPINB9
Leuconostoc	TYK2
Roseburia	CTSK
Porphyromonas	HSPA8
Ruminococcus	EIF2AK1
Comamonas	GPT
Pseudoflavonifractor	RDH13
Pseudoflavonifractor	LTK
Parabacteroides	GANAB
Clostridium	EPHA1
Desulfovibrio	IMPDH2
Pseudoflavonifractor	ERBB2
Gemella	ZAP70
Coprobacillus	GPX7
Bifidobacterium	PAK4
Faecalibacterium	PHYKPL
Roseburia	CHUK
Sutterella	HSD17B8
Pseudoflavonifractor	SLC6A2
Eggerthella	PRKD1
Methanobrevibacter	SGPL1
Holdemania	ROCK2
Odoribacter	UGDH
Granulicatella	PRKCD
Butyrivibrio	PRKACA
Methanosphaera	FARSA
Actinomyces	LCK
Klebsiella	IMPA2
Oribacterium	GPX6
Akkermansia	CKB
Peptoniphilus	SYK
Granulicatella	PNP
Leuconostoc	IDH3B
Dialister	PLK3
Campylobacter	AZIN2
Phascolarctobacterium	EPHA2
Streptococcus	EPHA2
Bifidobacterium	BRAF
Dialister	SHMT2
Gemella	CDKL2
Actinomyces	PRKAA2
Veillonella	COMT
Mitsuokella	POLR2A
Granulicatella	PPAT
Helicobacter	SDS
Selenomonas	IRAK1
Clostridium	PAK6
Leuconostoc	CA6
Bacteroides	IGF1R
Coprococcus	TNK2
Acidaminococcus	AURKA
Parabacteroides	DHRS4
Anaerotruncus	GSR
Acidaminococcus	MAP4K1
Akkermansia	FPGS
Anaerococcus	ABCC9
Holdemania	MAPK14
Leuconostoc	MYLK3
Bacteroides	MARK2
Holdemania	HARS
Lactococcus	IDH3G
Lactobacillus	SLC22A5
Coprobacillus	AKR1C3
Phascolarctobacterium	PRKAA1
Streptococcus	PRKAA1
Coprococcus	PHGDH
Oribacterium	PRPF4B
Clostridium	ZAP70
Roseburia	HSD17B3
Bifidobacterium	CBS
Bifidobacterium	PLK3
Roseburia	HSD17B10
Streptococcus	GPX1
Eubacterium	CES1
Lactobacillus	MPG
Bifidobacterium	SHMT2
Collinsella	GPT
Citrobacter	EEF1A1
Blautia	NFS1
Anaerofustis	ULK2
Coprococcus	FGR
Fusobacterium	GLUD2
Citrobacter	OXCT2
Actinomyces	ANPEP
Campylobacter	ACSL4
Capnocytophaga	AKR1B10
Atopobium	ME2
Pseudoflavonifractor	ALDH6A1
Turicibacter	AURKB
Lactobacillus	BMP2K
Salmonella	NEK1
Parabacteroides	ABCB11
Eubacterium	TNNI3K
Clostridium	CDKL2
Enterococcus	IGF1R
Desulfovibrio	FBP1
Ruminococcus	SERPIND1
Enterococcus	MARK2
Roseburia	CAMKK1
Anaerostipes	PAK1
Dialister	ATP6V1A
Bacteroides	GGPS1
Peptoniphilus	RRM2B
Solobacterium	PIM1
Peptoniphilus	MAP3K15
Ruminococcus	PYGL
Ruminococcus	DPYD
Pseudoflavonifractor	TAOK2
Gemella	FRK
Slackia	STK4
Eubacterium	YARS
Dorea	ABCB1
Turicibacter	RAF1
Comamonas	GOT1
Solobacterium	DARS2
Escherichia	RDH14
Pseudoflavonifractor	SLC6A4
Coprococcus	MCCC2
Veillonella	ACAA2
Butyrivibrio	ACSL4
Ruminococcus	PKM
Escherichia	ULK1
Anaerotruncus	GARS
Blautia	TYK2
Slackia	PRKCG
Providencia	CFTR
Paraprevotella	CARS2
Acidaminococcus	TEC
Victivallis	EPHA4
Coprococcus	CAMKK2
Paraprevotella	MUT
Eubacterium	PRKCD
Megasphaera	MPG
Veillonella	CMPK1
Butyrivibrio	FER
Oribacterium	HINT1
Desulfovibrio	AKR1C3
Turicibacter	PYCR2
Proteus	CPS1
Granulicatella	ABCA1
Anaerofustis	PHKG1
Bifidobacterium	ATP6V1A
Gemella	SLC1A5
Anaerococcus	DYRK1A
Capnocytophaga	HSD17B2
Leuconostoc	SIK2
Bacteroides	ALDH5A1
Eubacterium	SLC6A9
Enterococcus	GGPS1
Porphyromonas	WARS2
Porphyromonas	GPX2
Dorea	GPD1
Turicibacter	UCK2
Eubacterium	PPAT
Lactococcus	IDH3A
Mitsuokella	AURKB
Blautia	IDH3B
Escherichia	ALAS2
Klebsiella	ACADSB
Escherichia	MAP2K2
Actinomyces	GSR
Ruminococcus	STK35
Clostridium	FRK
Granulicatella	MAP3K9
Oxalobacter	AKR1D1
Acidaminococcus	PDHB
Sutterella	GOT2
Coprococcus	CDK17
Blautia	MGAM
Aeromonas	MGMT
Coprococcus	NEK2
Veillonella	AKR1B10
Treponema	SLC6A8
Mitsuokella	RAF1
Anaerococcus	PLK4
Klebsiella	ATP1A3
Blautia	MYLK3
Pyramidobacter	ADSSL1
Lactobacillus	INSRR
Faecalibacterium	GLUD2
Roseburia	KCNQ2
Lactobacillus	MAPK11
Bifidobacterium	TTK
Enterobacter	RTCB
Bacteroides	AGXT2
Escherichia	TAT
Victivallis	DARS
Methanobrevibacter	KARS
Citrobacter	CTH
Anaerostipes	SLC5A5
Oribacterium	STK10
Veillonella	TNNI3K
Sutterella	ENO1
Paraprevotella	HARS
Mitsuokella	PYCR2
Anaerostipes	FGFR1
Veillonella	LDHC
Clostridium	SLC1A5
Gemella	SCLY
Actinomyces	SGK3
Pyramidobacter	IARS2
Eubacterium	DCLK3
Weissella	TIE1
Atopobium	ATP4A
Selenomonas	CDKL1
Porphyromonas	HIBCH
Lactobacillus	PYGB
Roseburia	CARS2
Anaerococcus	PRKACA
Anaerococcus	GLUD1
Proteus	ACSS2
Bilophila	CFTR
Victivallis	TOP2A
Selenomonas	CFTR
Mitsuokella	UCK2
Actinomyces	IMPDH1
Escherichia	ALDH18A1
Aggregatibacter	ALDH1A2
Anaerofustis	PHGDH
Roseburia	ALDH1A3
Coprococcus	PIM3
Ruminococcus	GPT2
Anaerostipes	ABCG2
Proteus	SDSL
Actinomyces	GARS
Streptococcus	PTK2
Collinsella	MARK2
Subdoligranulum	SRR
Bacteroides	SIK1
Selenomonas	STK33
Dorea	MAP3K10
Coprobacillus	RRM1
Haemophilus	PDXK
Akkermansia	MAT1A
Aeromonas	VARS
Anaerofustis	FGR
Weissella	MAP3K11
Oribacterium	PKN2
Megasphaera	INSRR
Peptoniphilus	PC
Coprococcus	LDHB
Veillonella	PNP
Oxalobacter	HDAC10
Solobacterium	PRKD2
Roseburia	ROCK2
Oribacterium	RET
Leuconostoc	PRKCE
Butyrivibrio	BTK
Bifidobacterium	LCT
Sutterella	ECHS1
Pyramidobacter	GMPS
Clostridium	OGA
Eubacterium	QPRT
Capnocytophaga	ABCA1
Oxalobacter	HSD17B3
Anaerococcus	LDHAL6A
Oxalobacter	HSD17B10
Actinomyces	INSRR
Clostridium	SCLY
Lactobacillus	GPX3
Odoribacter	PAPSS1
Ruminococcus	PAK4
Mitsuokella	PKN1
Bilophila	MT-ND1
Blautia	SIK2
Weissella	RIDA
Coprobacillus	IDH3G
Phascolarctobacterium	MAP4K1
Streptococcus	MAP4K1
Anaerofustis	SIK3
Prevotella	GAPDH
Dorea	AAK1
Odoribacter	SLC3A1
Eubacterium	MAP3K9
Fusobacterium	SLC5A5
Enterococcus	SIK1
Oribacterium	POLR2A
Methanosphaera	KARS
Achromobacter	PDHB
Blautia	MAP4K4
Eggerthella	MAPK11
Gemella	FES
Methanobrevibacter	ACAA2
Gemella	MAPK1
Anaerofustis	CAMKK2
Roseburia	MAPK14
Succinatimonas	GPT2
Roseburia	HARS
Anaerococcus	NDUFV2
Anaerotruncus	PDIA3
Faecalibacterium	PAK1
Acinetobacter	JAK2
Succinatimonas	TOP2A
Dorea	DAPK2
Ruminococcus	BRAF
Prevotella	SERPINA1
Bilophila	CTPS1
Pseudoflavonifractor	AURKA
Selenomonas	CTPS1
Providencia	SPTLC2
Selenomonas	MAP3K13
Acidaminococcus	PFAS
Haemophilus	GMPS
Peptoniphilus	TNIK
Peptoniphilus	GLO1
Granulicatella	NUAK1
Slackia	ABCB11
Comamonas	AGXT2
Prevotella	DNPEP
Coprococcus	NTRK1
Anaerostipes	MAP2K3
Providencia	HSD17B1
Achromobacter	IARS2
Aeromonas	ABAT
Desulfovibrio	RRM1
Dialister	FARSA
Fusobacterium	ABCG2
Dorea	SLC5A2
Actinomyces	FAAH
Phascolarctobacterium	AURKC
Acidaminococcus	CDK15
Anaerotruncus	IKBKB
Treponema	MAPK10
Oxalobacter	ITPA
Lactobacillus	PDIA3
Enterobacter	ABCB5
Peptoniphilus	BLK
Anaerococcus	FER
Megasphaera	GPX3
Gemella	LYN
Phascolarctobacterium	HDAC2
Odoribacter	ABCC9
Ruminococcus	CBS
Ruminococcus	PLK3
Selenomonas	NEK5
Anaerofustis	CDK17
Faecalibacterium	MINK1
Bilophila	MTHFD1
Anaerofustis	NEK2
Blautia	KYAT1
Alistipes	ACSL3
Streptococcus	CA3
Lactococcus	ABL2
Providencia	IMPA2
Phascolarctobacterium	THNSL1
Streptococcus	THNSL1
Bacteroides	CHEK2
Weissella	BMX
Clostridium	FES
Weissella	ABL2
Oribacterium	CDK16
Actinomyces	TEK
Clostridium	MAPK1
Desulfovibrio	IDH3G
Treponema	MINK1
Peptostreptococcus	MYLK2
Gemella	MELK
Lactobacillus	IKBKB
Anaerococcus	MAP2K1
Veillonella	ABCA1
Salmonella	DCLK3
Gemella	HIPK3
Enterococcus	RPS6KA3
Eggerthella	GPX3
Turicibacter	STK26
Odoribacter	GLDC
Alistipes	CPS1
Alistipes	MCCC2
Gemella	MST1R
Collinsella	AGXT2
Bacteroides	ATP2C1
Coprobacillus	IDH3A
Pseudoflavonifractor	TEC
Atopobium	HADH
Pseudoflavonifractor	SERPINC1
Blautia	PDXDC1
Granulicatella	IMPDH2
Escherichia	STK3
Slackia	NDUFV1
Peptoniphilus	ARG1
Weissella	TXK
Prevotella	NUAK2
Acidaminococcus	CSK
Helicobacter	ABCB5
Coprococcus	TLK2
Blautia	PRKCE
Anaerofustis	PIM3
Coprococcus	PCCA
Clostridium	LYN
Turicibacter	TUFM
Aggregatibacter	ABCC2
Enterobacter	IARS
Eubacterium	PSAT1
Turicibacter	MAP4K4
Faecalibacterium	FGFR1
Campylobacter	GMPS
Turicibacter	EPHA3
Streptococcus	PDHB
Bacteroides	MAP3K1
Bilophila	SPTLC2
Streptococcus	ADSSL1
Victivallis	AURKB
Porphyromonas	PHYKPL
Blautia	PRKACB
Dorea	INSR
Bilophila	HSD17B1
Haemophilus	ANPEP
Actinomyces	PDIA3
Selenomonas	HSD17B1
Actinobacillus	GLUD2
Oxalobacter	CARS2
Akkermansia	PIM1
Clostridium	MELK
Prevotella	NDUFS7
Enterobacter	RDH13
Prevotella	FYN
Lactobacillus	AADAT
Collinsella	SIK1
Anaerotruncus	PAK3
Akkermansia	DARS2
Eubacterium	STK16
Oribacterium	RAF1
Phascolarctobacterium	IARS2
Streptococcus	IARS2
Oxalobacter	ALDH1A3
Actinomyces	ITK
Clostridium	HIPK3
Salmonella	MAP3K9
Prevotella	SLC13A2
Prevotella	SERPINA5
Clostridium	MST1R
Proteus	DHODH
Odoribacter	IMPA1
Parabacteroides	MAP3K3
Mitsuokella	STK26
Bilophila	IMPA2
Enterococcus	MAP3K1
Escherichia	MT-ND4
Proteus	DLAT
Actinomyces	ATP4A
Atopobium	TSSK1B
Desulfovibrio	IDH3A
Turicibacter	KYAT1
Lactobacillus	PAK3
Coprococcus	CTSK
Phascolarctobacterium	RPS6KA6
Streptococcus	RPS6KA6
Anaerococcus	BTK
Dorea	PRKD1
Ruminococcus	TTK
Coprobacillus	MAP3K11
Akkermansia	RDH8
Weissella	PAICS
Prevotella	ACSS1
Mitsuokella	TUFM
Peptoniphilus	FARS2
Eubacterium	GBA
Mitsuokella	EPHA3
Methanosphaera	LDHC
Gemella	AKR1C1
Granulicatella	PPIA
Sutterella	DPYD
Lactococcus	PAK2
Butyrivibrio	LCK
Klebsiella	ACSL1
Megasphaera	AADAT
Solobacterium	ULK2
Citrobacter	ALDH5A1
Butyrivibrio	PRKAA2
Dialister	PLK1
Acinetobacter	MAP2K2
Escherichia	STK35
Haemophilus	GSR
Anaerostipes	MAT2A
Bifidobacterium	NADSYN1
Gemella	SLC7A2
Oxalobacter	HARS
Coprobacillus	RIDA
Actinomyces	TLK1
Holdemania	METAP1
Odoribacter	GLUD1
Eubacterium	TAOK3
Holdemania	STK32A
Alistipes	LDHB
Providencia	ATP1A3
Bifidobacterium	CHD1
Collinsella	RPS6KA3
Parabacteroides	HPGD
Turicibacter	PRKCA
Lactococcus	DLD
Anaerotruncus	CDK4
Megasphaera	PAK3
Turicibacter	PRKACB
Subdoligranulum	NARS
Ureaplasma	ABCB11
Leuconostoc	EARS2
Veillonella	XDH
Oribacterium	PKN1
Roseburia	NT5E
Atopobium	PRKCZ
Bacteroides	CHEK1
Pyramidobacter	MAT1A
Gemella	PYGM
Coprococcus	HSD17B3
Veillonella	NUAK1
Coprococcus	HSD17B10
Enterobacter	TAOK2
Bifidobacterium	PLK1
Prevotella	UGDH
Acidaminococcus	SLC1A1
Eubacterium	RPS6KA1
Methanobrevibacter	ABCA1
Escherichia	DARS
Clostridium	AKR1C1
Prevotella	PSPH
Gemella	HPRT1
Actinomyces	PAK3
Eubacterium	GPT
Holdemania	ICK
Oxalobacter	MT-ND1
Solobacterium	PHKG1
Lactobacillus	CDK4
Providencia	FASN
Lactococcus	PLK2
Eggerthella	GATM
Odoribacter	LDHAL6A
Treponema	DAPK1
Faecalibacterium	PRDX1
Haemophilus	IMPDH1
Leuconostoc	STK17B
Olsenella	ABCC9
Selenomonas	TYRO3
Bacteroides	MAPK13
Phascolarctobacterium	FPGS
Anaerofustis	TLK2
Streptococcus	FPGS
Victivallis	TYK2
Weissella	MARK1
Ruminococcus	HSD17B6
Clostridium	SLC7A2
Holdemania	STK17A
Peptoniphilus	SDS
Pseudoflavonifractor	PFAS
Anaerofustis	PCCA
Escherichia	HSP90AB1
Coprococcus	CAMKK1
Leuconostoc	ATP1A2
Akkermansia	PRKD2
Bacteroides	SLC2A1
Coprobacillus	BMX
Capnocytophaga	OAT
Bifidobacterium	FKBP1A
Weissella	SORD
Coprobacillus	ABL2
Blautia	SLC1A2
Enterococcus	CHEK1
Desulfovibrio	RIDA
Turicibacter	NEK3
Salmonella	STK16
Peptostreptococcus	IDH3G
Pseudoflavonifractor	CDK15
Odoribacter	NDUFV2
Odoribacter	HSD11B2
Mitsuokella	PRKCA
Succinatimonas	NFS1
Atopobium	TPI1
Anaerotruncus	EGFR
Bifidobacterium	HAGH
Peptoniphilus	ABL1
Clostridium	PYGM
Campylobacter	GSR
Aeromonas	SLC1A5
Coprococcus	ITPA
Clostridium	WARS
Granulicatella	MARK2
Actinomyces	SARS
Desulfuromonas	ABCB5
Enterococcus	MAPK13
Sutterella	GPT2
Acidaminococcus	PDPK1
Turicibacter	DAPK3
Clostridium	HPRT1
Coprobacillus	TXK
Veillonella	IMPDH2
Oxalobacter	HDAC1
Peptoniphilus	SLC10A1
Bilophila	ATP1A3
Megasphaera	CDK4
Selenomonas	ATP1A3
Oxalobacter	MTHFD1
Enterococcus	SLC2A1
Streptococcus	CSK
Dialister	NEK1
Victivallis	MYLK3
Gemella	MAP4K2
Ruminococcus	HSD11B1
Lactobacillus	EGFR
Salmonella	GBA
Leuconostoc	DCLK3
Acidaminococcus	GLUD2
Methanosphaera	ABCA1
Odoribacter	GPD1
Solobacterium	PHGDH
Anaerotruncus	PTK2B
Aggregatibacter	ALDH18A1
Dorea	BMP2K
Eggerthella	MAPK9
Clostridium	STK38L
Capnocytophaga	AKR1C3
Anaerotruncus	MKNK2
Desulfovibrio	BMX
Mitsuokella	NEK3
Bilophila	FASN
Desulfovibrio	ABL2
Paraprevotella	METAP1
Campylobacter	IMPDH1
Coprococcus	KCNQ2
Actinobacillus	ABCG2
Blautia	EARS2
Enterococcus	SHMT1
Bifidobacterium	NEK1
Slackia	MAP3K3
Peptoniphilus	RIPK4
Prevotella	SERPINB6
Eggerthella	SERPINE1
Butyrivibrio	SGK3
Succinatimonas	IDH3B
Enterobacter	NQO2
Oxalobacter	SPTLC2
Ruminococcus	MARK4
Mitsuokella	DAPK3
Providencia	TOP2B
Lactobacillus	MKNK2
Fusobacterium	PHGDH
Peptostreptococcus	IDH3A
Bacteroides	ACHE
Leuconostoc	DCLK2
Prevotella	MYLK
Desulfovibrio	TXK
Coprococcus	CARS2
Clostridium	MAP4K2
Anaerococcus	LCK
Lactobacillus	MUSK
Salmonella	RPS6KA1
Turicibacter	SLC1A2
Blautia	STK17B
Lactococcus	WARS2
Prevotella	TYMS
Lactobacillus	ABCC8
Lactococcus	GPX2
Weissella	ROS1
Faecalibacterium	MAT2A
Anaerococcus	PRKAA2
Comamonas	HADHA
Actinomyces	TSSK1B
Coprococcus	ALDH1A3
Victivallis	STK26
Alistipes	AKR1D1
Lactococcus	MYO3A
Subdoligranulum	MAP3K15
Anaerofustis	HSD17B3
Anaerostipes	OXCT1
Turicibacter	TBK1
Anaerofustis	HSD17B10
Blautia	ATP1A2
Veillonella	PPIA
Solobacterium	CAMKK2
Weissella	MYO3A
Holdemania	TXNRD1
Klebsiella	DPEP1
Eubacterium	IGF1R
Sutterella	CBS
Acinetobacter	STK3
Victivallis	SIK2
Actinomyces	SUCLG1
Sutterella	SHMT2
Pyramidobacter	DARS2
Eubacterium	MARK2
Collinsella	CHEK1
Citrobacter	ATP2C1
Oribacterium	TUFM
Turicibacter	HSP90B1
Turicibacter	SLC6A3
Coprococcus	ROCK2
Ruminococcus	LIMK2
Oribacterium	EPHA3
Victivallis	MAP4K4
Victivallis	EPHA3
Desulfovibrio	SLC5A1
Comamonas	SHMT1
Lactobacillus	NSDHL
Treponema	CDC42BPG
Anaerofustis	CAMKK1
Lactobacillus	EHHADH
Gemella	PDXP
Anaerostipes	SIRT5
Slackia	HPGD
Bacteroides	ALDH1A2
Megasphaera	MKNK2
Turicibacter	NEK11
Parabacteroides	CAMK2G
Veillonella	AKR1C3
Gemella	YES1
Collinsella	MAPK13
Dorea	MAPK11
Roseburia	METAP1
Gemella	MKNK1
Paraprevotella	TOP2B
Phascolarctobacterium	MAT1A
Roseburia	STK32A
Solobacterium	CDK17
Campylobacter	FAAH
Holdemania	IARS
Weissella	HSD17B8
Solobacterium	NEK2
Actinomyces	PTK2B
Actinomyces	MKNK2
Slackia	ALDH4A1
Coprococcus	MAPK14
Coprococcus	HARS
Streptococcus	MME
Lactobacillus	IRAK4
Peptostreptococcus	MAP3K11
Gemella	NEK4
Phascolarctobacterium	SLC1A1
Streptococcus	SLC1A1
Atopobium	AOX1
Atopobium	CPS1
Comamonas	GSTO2
Actinomyces	PRKCZ
Mitsuokella	TBK1
Subdoligranulum	RDH12
Dorea	PYGB
Ruminococcus	NADSYN1
Proteus	CFTR
Dialister	TNNI3K
Coprobacillus	MARK1
Blautia	CASK
Akkermansia	SUCLG2
Holdemania	RDH13
Enterobacter	MAP3K4
Anaerostipes	EPHB3
Holdemania	ERBB2
Victivallis	KYAT1
Holdemania	SLC6A2
Enterococcus	ALDH1A2
Methanobrevibacter	IMPDH2
Treponema	FARSB
Ruminococcus	CHD1
Parabacteroides	ACADSB
Butyrivibrio	FAAH
Haemophilus	ATP4A
Roseburia	ICK
Fusobacterium	OXCT1
Granulicatella	SIK1
Bifidobacterium	CES1
Selenomonas	PRKG2
Mitsuokella	SLC6A3
Dialister	YARS
Megasphaera	NSDHL
Coprobacillus	SORD
Clostridium	HMOX2
Megasphaera	EHHADH
Alistipes	HSD17B3
Alistipes	HSD17B10
Eggerthella	ABCC8
Clostridium	PDXP
Atopobium	EPHB4
Anaerotruncus	GSK3B
Aeromonas	ABCC1
Akkermansia	ULK2
Roseburia	STK17A
Clostridium	YES1
Solobacterium	PIM3
Prevotella	SLC3A1
Bacteroides	EPHA7
Ruminococcus	PLK1
Mitsuokella	NEK11
Eubacterium	ALDH5A1
Citrobacter	PECR
Lactococcus	SRMS
Treponema	MTHFD2
Clostridium	MKNK1
Leuconostoc	EEF1A1
Dialister	PRKCD
Lactococcus	TYMP
Anaerotruncus	FGFR3
Blautia	DCLK2
Bifidobacterium	TNNI3K
Anaerococcus	MPG
Butyrivibrio	TEK
Achromobacter	DARS2
Solobacterium	LDHB
Anaerofustis	KCNQ2
Megasphaera	IRAK4
Selenomonas	MAPKAPK5
Clostridium	NEK4
Actinomyces	TPI1
Ruminococcus	MMAB
Lactobacillus	GSK3B
Eggerthella	EHHADH
Acidaminococcus	SLC5A5
Selenomonas	OTC
Dialister	PPAT
Succinatimonas	NADSYN1
Victivallis	PRKCA
Roseburia	TOP2B
Acidaminococcus	FGFR1
Victivallis	PRKACB
Klebsiella	HSP90AA1
Faecalibacterium	SLK
Ruminococcus	FKBP1A
Lactobacillus	FGFR3
Anaerofustis	CARS2
Prevotella	GPX4
Mitsuokella	PCCB
Enterococcus	EPHA7
Bifidobacterium	PRKCD
Escherichia	NFS1
Comamonas	ALDH1A2
Desulfovibrio	MARK1
Bacteroides	GART
Eubacterium	AGXT2
Weissella	G6PD
Faecalibacterium	SRR
Alistipes	ITPA
Methanobrevibacter	PSMA8
Treponema	SLK
Prevotella	ABCC9
Clostridium	SERPINA1
Peptostreptococcus	EPRS
Pseudoflavonifractor	PDPK1
Atopobium	MAP3K12
Akkermansia	PHKG1
Anaerofustis	ALDH1A3
Holdemania	ALDH6A1
Clostridium	DNPEP
Eggerthella	IRAK4
Salmonella	MARK2
Lactococcus	PDHA1
Desulfovibrio	SORD
Proteus	HPGD
Acidaminococcus	ABCG2
Selenomonas	CAMK1D
Blautia	MARK3
Anaerococcus	SGK3
Granulicatella	RPS6KA3
Peptostreptococcus	ABL2
Methanosphaera	IMPDH2
Blautia	PGD
Bifidobacterium	PPAT
Victivallis	GUCY1B1
Proteus	FDX1
Turicibacter	GAPDHS
Campylobacter	ATP4A
Holdemania	LDHAL6B
Gemella	PKN2
Pseudoflavonifractor	GLUD2
Holdemania	TAOK2
Anaerofustis	ROCK2
Anaerococcus	IMPDH1
Prevotella	RRM2
Turicibacter	CASK
Anaerotruncus	AOX1
Collinsella	SORD
Klebsiella	HDAC2
Granulicatella	TIE1
Holdemania	SLC6A4
Bacteroides	JAK2
Gemella	RET
Butyrivibrio	ITK
Parabacteroides	KYAT3
Gemella	ADH1C
Prevotella	GLDC
Proteus	MTHFD1
Oribacterium	NEK3
Escherichia	TYK2
Enterococcus	GART
Klebsiella	CA3
Lactococcus	GPX8
Eubacterium	SIK1
Bacteroides	DNMT1
Blautia	PYCR1
Megasphaera	FGFR3
Weissella	GPX8
Peptoniphilus	ABCB5
Providencia	CYB5R3
Faecalibacterium	ERBB4
Citrobacter	SLC2A1
Blautia	DCLK1
Bacteroides	ABCC2
Coprobacillus	ROS1
Butyrivibrio	ATP4A
Prevotella	AKR1B1
Oxalobacter	FASN
Gemella	FYN
Citrobacter	HADHA
Coprobacillus	MYO3A
Treponema	ERBB4
Oribacterium	DAPK3
Anaerostipes	ERN1
Helicobacter	WARS2
Veillonella	RRM1
Streptococcus	PIM1
Turicibacter	DCLK2
Anaerofustis	HARS
Leuconostoc	CTH
Eggerthella	GSK3B
Faecalibacterium	SIRT5
Haemophilus	SARS
Slackia	HSPA5
Phascolarctobacterium	DARS2
Streptococcus	DARS2
Escherichia	IDH3B
Desulfovibrio	GCAT
Akkermansia	TNK2
Pyramidobacter	SLC23A1
Anaerostipes	NEK9
Alistipes	CARS2
Enterobacter	SUCLA2
Oxalobacter	METAP1
Clostridium	PKN2
Providencia	GPX1
Methanosphaera	PSMA8
Acidaminococcus	MAP2K3
Blautia	OXCT2
Alistipes	MUT
Abiotrophia	BCHE
Mitsuokella	GAPDHS
Aggregatibacter	DARS
Anaerotruncus	AKR1C4
Weissella	ENO1
Escherichia	MGAM
Enterococcus	ABCC2
Clostridium	RET
Alistipes	ALDH1A3
Slackia	CAMK2G
Salmonella	ALDH5A1
Clostridium	ADH1C
Porphyromonas	PRDX1
Butyrivibrio	TLK1
Escherichia	MYLK3
Clostridium	HMOX1
Proteus	HSD17B1
Oribacterium	ABCB1
Solobacterium	TLK2
Dialister	MAP3K9
Methanosphaera	PPIA
Comamonas	GART
Streptococcus	RDH8
Faecalibacterium	MATK
Peptoniphilus	SBK1
Providencia	MT-ND2
Faecalibacterium	EPHB3
Aggregatibacter	TOP2A
Aggregatibacter	HSP90AB1
Blautia	SLC47A1
Dorea	AADAT
Clostridium	FYN
Klebsiella	IARS2
Turicibacter	MARK3
Bifidobacterium	QPRT
Parabacteroides	PRKG2
Anaerococcus	FAAH
Parabacteroides	GCSH
Enterobacter	PFAS
Aeromonas	SLC13A3
Aeromonas	HPRT1
Gemella	CDK16
Clostridium	SLC13A2
Anaerostipes	EPHB1
Coprococcus	NT5E
Pseudoflavonifractor	PAK1
Clostridium	SERPINA5
Roseburia	IARS
Atopobium	MAST1
Anaerotruncus	STK4
Proteus	IMPA2
Turicibacter	SNRK
Butyrivibrio	PAK3
Slackia	ACADSB
Atopobium	NARS2
Peptoniphilus	ERBB2
Akkermansia	MCCC2
Peptostreptococcus	PAK2
Bifidobacterium	MAP3K9
Victivallis	SLC1A2
Weissella	ECHS1
Eubacterium	CHEK2
Veillonella	SIK1
Anaerotruncus	PRKCG
Blautia	LIMK1
Mitsuokella	INSR
Mitsuokella	SDHA
Akkermansia	CAMKK2
Oribacterium	TBK1
Anaerococcus	TEK
Roseburia	RDH13
Roseburia	LTK
Citrobacter	ACHE
Clostridium	ACSS1
Alistipes	HARS
Roseburia	SLC6A2
Actinomyces	LTA4H
Comamonas	ABCC2
Prevotella	GLUD1
Campylobacter	SARS
Lactobacillus	STK4
Parabacteroides	OTC
Anaerostipes	SYK
Coprobacillus	TYMP
Actinomyces	EPHB4
Oribacterium	HSP90B1
Oribacterium	SLC6A3
Collinsella	GART
Eubacterium	ATP2C1
Victivallis	SLC6A3
Bacteroides	ULK1
Selenomonas	PRKAA1
Oxalobacter	TOP2B
Solobacterium	CHUK
Megasphaera	AKR1C4
Haemophilus	SUCLG1
Lactococcus	CBR1
Desulfovibrio	HSD17B8
Clostridium	CDK16
Escherichia	SIK2
Oribacterium	PKMYT1
