genera	gene_id
Enterococcus	MTHFD2
Selenomonas	IKBKB
Weissella	EPHB3
Citrobacter	CBS
Mitsuokella	FGFR2
Lactobacillus	RAF1
Enterococcus	FARSA
Solobacterium	MAPKAPK5
Turicibacter	SHMT1
Enterobacter	ACSL3
Alistipes	ACSL4
Faecalibacterium	METAP1
Parabacteroides	GAA
Butyrivibrio	PYGM
Acidaminococcus	STK33
Actinomyces	CDK16
Gemella	MARK3
Faecalibacterium	STK32A
Prevotella	FTCD
Anaerococcus	LYN
Gemella	PGD
Clostridium	DCLK2
Mitsuokella	MAPK13
Butyrivibrio	HPRT1
Ruminococcus	IDH3A
Treponema	METAP1
Escherichia	AKR1C3
Enterococcus	CDK2
Peptoniphilus	PIM1
Lactobacillus	PYCR2
Parabacteroides	MAPK11
Treponema	STK32A
Anaerostipes	CLK1
Olsenella	GSK3A
Anaerococcus	ABCC1
Leuconostoc	HSD17B8
Mitsuokella	SLC2A1
Akkermansia	CAMK2G
Enterobacter	CPS1
Peptoniphilus	DARS2
Oribacterium	PPIF
Anaerococcus	EIF2AK2
Victivallis	RPS6KA3
Anaerococcus	MELK
Lactobacillus	UCK2
Granulicatella	MINK1
Gemella	PYCR1
Enterobacter	CAMKK2
Oxalobacter	IMPDH1
Solobacterium	CAMK1D
Mitsuokella	ODC1
Actinomyces	PSPH
Gemella	DCLK1
Blautia	GCAT
Lactococcus	NTRK1
Phascolarctobacterium	HCK
Streptococcus	HCK
Peptostreptococcus	MAP2K3
Fusobacterium	OTC
Roseburia	ITK
Butyrivibrio	STK38L
Collinsella	CDC42BPG
Aggregatibacter	ABCA1
Coprobacillus	EIF2AK4
Oribacterium	CHEK2
Megasphaera	RAF1
Porphyromonas	SPTLC1
Coprococcus	GMPS
Treponema	ICK
Anaerotruncus	PKN1
Comamonas	MTHFD2
Faecalibacterium	STK17A
Dialister	DLD
Eubacterium	MAP3K2
Bifidobacterium	PAK2
Comamonas	FARSA
Dehalococcoides	MAT1A
Acidaminococcus	CTPS1
Acidaminococcus	MAP3K13
Atopobium	SLC3A1
Anaerofustis	AURKC
Mitsuokella	SHMT1
Roseburia	ATP4A
Coprococcus	RYR2
Holdemania	TSSK1B
Clostridium	MARK3
Pyramidobacter	GAPDH
Citrobacter	ATP6V1A
Eggerthella	AURKB
Aerococcus	TUFM
Clostridium	PGD
Treponema	STK17A
Succinatimonas	IDH3A
Acidaminococcus	HPGD
Megasphaera	PYCR2
Odoribacter	ATP1A1
Porphyromonas	HAL
Anaerotruncus	PRKCI
Dialister	HSPA8
Enterococcus	SGPL1
Sutterella	SLC10A1
Oribacterium	ATP2C1
Helicobacter	CPS1
Salmonella	CAMK1
Prevotella	H6PD
Subdoligranulum	PDHB
Bacteroides	KCNS2
Butyrivibrio	MAP4K2
Lactobacillus	PKN1
Coprobacillus	SRR
Streptococcus	LRRK2
Dialister	PLK2
Ruminococcus	MAP3K11
Eggerthella	RAF1
Faecalibacterium	TOP2B
Blautia	ROS1
Ruminococcus	CKMT2
Acidaminococcus	NEK5
Bifidobacterium	DLD
Coprococcus	LCK
Clostridium	PYCR1
Citrobacter	SI
Collinsella	FARSB
Weissella	CSNK2A1
Acidaminococcus	MTHFD1
Clostridium	DCLK1
Oribacterium	MAP3K1
Atopobium	GPX4
Coprococcus	PRKAA2
Gemella	SLC47A1
Haemophilus	GAPDH
Roseburia	TLK1
Prevotella	ULK3
Escherichia	MTRR
Eggerthella	PYCR2
Atopobium	ABCC9
Oribacterium	MAP2K6
Bifidobacterium	HSPA8
Turicibacter	ALDH1A2
Slackia	PAK5
Leuconostoc	G6PD
Fusobacterium	ACSL1
Eubacterium	MAPK10
Blautia	GART
Pyramidobacter	SLC7A9
Actinomyces	ROCK1
Collinsella	MTHFD2
Lactococcus	ERN1
Anaerostipes	EPHA2
Lactococcus	PCCA
Coprococcus	TAOK1
Bifidobacterium	PLK2
Oxalobacter	HDAC4
Sutterella	HIBADH
Acinetobacter	NUAK1
Holdemania	PRKCZ
Oxalobacter	FAAH
Dialister	MAP3K4
Clostridium	OXCT2
Bacteroides	ENPP1
Gemella	LIMK1
Megasphaera	PKN1
Escherichia	ASRGL1
Bifidobacterium	PRKCQ
Blautia	HSD17B8
Weissella	NEK9
Lactobacillus	AQP1
Eubacterium	SLC1A7
Prevotella	MAP3K6
Anaerostipes	PRKAA1
Actinomyces	SERPINB6
Peptoniphilus	PRKD2
Desulfovibrio	SRR
Acidaminococcus	HSD17B1
Oribacterium	PECR
Solobacterium	PLK4
Clostridium	SLC47A1
Coprococcus	KCNF1
Leuconostoc	GPX8
Collinsella	SLK
Selenomonas	CDK4
Akkermansia	KYAT3
Actinomyces	MYLK
Bifidobacterium	MAP3K4
Porphyromonas	NT5E
Methanosphaera	PHYKPL
Klebsiella	AKR1C4
Turicibacter	EPHA7
Ruminococcus	EPRS
Mitsuokella	ALDH1A2
Actinomyces	TYMS
Succinatimonas	RIDA
Actinomyces	PRKCI
Campylobacter	PHB2
Prevotella	SLC37A4
Akkermansia	STK38
Gemella	CTH
Alistipes	DPP4
Mitsuokella	SLC22A4
Holdemania	TPI1
Anaerococcus	PYGM
Escherichia	RRM1
Aggregatibacter	PSAT1
Faecalibacterium	TXNRD1
Solobacterium	SLC6A1
Ruminococcus	ABL2
Coprobacillus	MATK
Weissella	EPHB1
Helicobacter	GATB
Pyramidobacter	NDUFS7
Clostridium	LIMK1
Campylobacter	GAPDH
Solobacterium	PRKACA
Coprobacillus	EPHB3
Butyrivibrio	YES1
Bifidobacterium	PKLR
Roseburia	SARS
Anaerococcus	HPRT1
Comamonas	NDUFAB1
Veillonella	PAK1
Butyrivibrio	MKNK1
Providencia	SLC22A8
Bacteroides	KARS
Anaerofustis	GMPS
Phascolarctobacterium	NDUFS1
Leuconostoc	ENO1
Pseudoflavonifractor	CDKL1
Bacteroides	COMT
Oribacterium	CHEK1
Victivallis	CHEK1
Butyrivibrio	NEK4
Granulicatella	DAPK1
Dialister	WARS2
Phascolarctobacterium	MAP3K3
Streptococcus	MAP3K3
Slackia	MAPK11
Turicibacter	GART
Gemella	EPHA5
Pseudoflavonifractor	CFTR
Lactococcus	SYK
Aeromonas	EARS2
Dorea	EPHA4
Oribacterium	FGFR2
Dorea	HINT1
Anaerotruncus	TUFM
Peptoniphilus	SLC23A1
Capnocytophaga	ABCG2
Anaerococcus	STK38L
Prevotella	FDPS
Parabacteroides	AADAT
Haemophilus	NDUFS7
Pseudoflavonifractor	STK33
Fusobacterium	GPX1
Mitsuokella	EPHA7
Lactobacillus	STK26
Clostridium	CTH
Oribacterium	MAPK13
Prevotella	MAP2K5
Victivallis	MAPK13
Veillonella	MINK1
Treponema	IARS
Enterococcus	KARS
Lactococcus	HSD17B3
Anaerofustis	LCK
Providencia	GLS2
Victivallis	SLC5A1
Oxalobacter	ATP4A
Haemophilus	SLC13A2
Butyrivibrio	DNPEP
Prevotella	VARS
Akkermansia	PRKG2
Salmonella	MAPK10
Bifidobacterium	WARS2
Akkermansia	GCSH
Acidaminococcus	HSPA5
Veillonella	HDAC5
Anaerofustis	PRKAA2
Enterococcus	COMT
Leuconostoc	ECHS1
Methanobrevibacter	GLUD2
Desulfovibrio	MATK
Lactobacillus	TUFM
Lactobacillus	EPHA3
Atopobium	GLUD1
Coprococcus	SGK3
Victivallis	ODC1
Anaerococcus	MAP4K2
Treponema	SLC6A2
Turicibacter	ABCC2
Aggregatibacter	IMPDH2
Anaerofustis	TAOK1
Dialister	HIBCH
Lactococcus	CAMKK1
Clostridium	EPHA5
Coprococcus	IMPDH1
Collinsella	MATK
Blautia	RDH14
Selenomonas	MKNK2
Odoribacter	ABCC1
Streptococcus	HPGD
Roseburia	TSSK1B
Selenomonas	MUSK
Acidaminococcus	MAP3K19
Phascolarctobacterium	NME1
Streptococcus	NME1
Oribacterium	SHMT1
Dorea	STK10
Pseudoflavonifractor	CTPS1
Pseudoflavonifractor	MAP3K13
Peptostreptococcus	PHGDH
Solobacterium	STK39
Selenomonas	ABCC8
Solobacterium	FER
Weissella	MAP3K15
Faecalibacterium	EPHA2
Streptococcus	ALDH4A1
Comamonas	KARS
Atopobium	LDHAL6A
Ruminococcus	PAK2
Peptostreptococcus	FGR
Anaerostipes	PTK2
Megasphaera	TUFM
Enterobacter	DLAT
Fusobacterium	DPEP1
Streptococcus	SLC7A9
Enterobacter	AKR1D1
Acidaminococcus	ACADSB
Megasphaera	EPHA3
Mitsuokella	JAK2
Holdemania	ACSL3
Eubacterium	DAPK1
Campylobacter	NDUFS7
Dialister	SRMS
Blautia	ALAS2
Butyrivibrio	PKN2
Streptococcus	CA10
Akkermansia	CAMK1D
Blautia	ENO1
Pseudoflavonifractor	NEK5
Eggerthella	STK26
Granulicatella	CLK4
Eubacterium	MTR
Faecalibacterium	PRKAA1
Selenomonas	NSDHL
Enterococcus	ACAA2
Pseudoflavonifractor	MTHFD1
Butyrivibrio	RET
Mitsuokella	ABCC2
Gemella	CAMK1G
Campylobacter	SLC13A2
Roseburia	PTK2B
Prevotella	SLC1A3
Acidaminococcus	ATP1A3
Haemophilus	PSPH
Anaerococcus	PRPF4B
Methanosphaera	GLUD2
Escherichia	RPS6KA3
Coprobacillus	NEK9
Akkermansia	MDH1
Klebsiella	GGT1
Peptostreptococcus	SIK3
Holdemania	CPS1
Bacteroides	AKR1B10
Roseburia	PRKCZ
Faecalibacterium	TAOK2
Sutterella	ABCB5
Anaerostipes	MAP4K1
Eggerthella	TUFM
Eggerthella	MAP4K4
Butyrivibrio	FYN
Blautia	TAT
Granulicatella	MAT2A
Leuconostoc	EIF2AK1
Anaerostipes	HSP90AA1
Lactococcus	RDH12
Bifidobacterium	SRMS
Treponema	LDHAL6B
Ruminococcus	HSPA8
Selenomonas	IRAK4
Klebsiella	DHRS4
Treponema	TAOK2
Campylobacter	ACSS1
Proteus	PYGB
Weissella	RDH12
Peptoniphilus	ULK2
Gemella	MYLK4
Coprococcus	ME2
Treponema	SLC6A4
Helicobacter	AKR1D1
Coprococcus	FAAH
Collinsella	KARS
Bacteroides	LDHC
Holdemania	EPHB4
Victivallis	SORD
Anaerococcus	YES1
Atopobium	GPD1
Actinomyces	AKR1B1
Oxalobacter	SARS
Anaerococcus	MKNK1
Odoribacter	RDH5
Turicibacter	RDH14
Eubacterium	SI
Escherichia	MAP3K11
Turicibacter	ULK1
Enterococcus	AKR1B10
Coprobacillus	EPHB1
Clostridium	CAMK1G
Anaerotruncus	NEK3
Butyrivibrio	ACSS1
Atopobium	MAP2K1
Peptostreptococcus	OXCT1
Comamonas	ACAA2
Coprococcus	TEK
Klebsiella	ABCB11
Anaerococcus	NEK4
Oribacterium	ALDH1A2
Roseburia	TPI1
Enterobacter	HSD17B10
Eggerthella	KYAT1
Akkermansia	HSD17B4
Bacteroides	PNP
Desulfovibrio	NEK9
Anaerostipes	THNSL1
Enterococcus	LDHC
Solobacterium	BTK
Anaerotruncus	DAPK3
Providencia	AOX1
Lactococcus	ROCK2
Anaerofustis	SGK3
Escherichia	RIDA
Peptoniphilus	PHKG1
Lactobacillus	NEK3
Akkermansia	IMPA1
Butyrivibrio	CDK16
Campylobacter	UGDH
Lactococcus	PC
Pseudoflavonifractor	IMPA2
Clostridium	MYLK4
Pyramidobacter	KYAT3
Campylobacter	PSPH
Anaerofustis	IMPDH1
Holdemania	MAP3K12
Collinsella	MAPK7
Veillonella	PRDX1
Collinsella	NARS
Anaerococcus	DNPEP
Selenomonas	FGFR3
Leuconostoc	MAP3K2
Fusobacterium	HSP90AA1
Lactobacillus	DAPK3
Granulicatella	MTHFD2
Enterococcus	HSD17B2
Akkermansia	PLK4
Anaerofustis	MAT1A
Dialister	PHYKPL
Gemella	HIPK2
Enterococcus	PNP
Mitsuokella	ULK1
Anaerotruncus	ABCB1
Salmonella	DAPK1
Clostridium	SLC15A2
Helicobacter	HSD17B3
Helicobacter	HSD17B10
Eggerthella	PRKCA
Odoribacter	HPRT1
Holdemania	GATB
Turicibacter	TAT
Phascolarctobacterium	HSPA5
Streptococcus	HSPA5
Eggerthella	PRKACB
Anaerostipes	PDHB
Alistipes	GSR
Leuconostoc	PKM
Anaerostipes	ADSSL1
Oribacterium	EPHA7
Eubacterium	LCT
Prevotella	CDKL2
Clostridium	KCNQ5
Bacteroides	GLS
Bifidobacterium	SERPINA6
Collinsella	FLT4
Proteus	PDIA3
Coprococcus	ITK
Providencia	AKR1C4
Akkermansia	SLC6A1
Blautia	EIF2AK1
Megasphaera	NEK3
Parabacteroides	ABCC8
Dorea	AURKB
Lactococcus	TNIK
